epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,351.882,0.70019,0.72059,0.99835,1.0004,0.000930441,0.000930441,0.000930441
36,361.48,0.69969,0.71816,0.99801,1.14496,0.000926394,0.000926394,0.000926394
37,370.981,0.68171,0.70482,0.99913,1.2931,0.000922242,0.000922242,0.000922242
38,380.474,0.67722,0.70655,0.99879,1.25943,0.000917986,0.000917986,0.000917986
39,389.942,0.67207,0.68749,0.99775,1.19081,0.000913627,0.000913627,0.000913627
40,399.477,0.66385,0.71062,0.99792,1.2072,0.000909166,0.000909166,0.000909166
41,408.978,0.67694,0.72821,0.99844,1.13852,0.000904604,0.000904604,0.000904604
42,418.518,0.6594,0.72232,0.99905,1.30363,0.000899942,0.000899942,0.000899942
43,428.017,0.64841,0.69901,0.99896,1.27792,0.000895182,0.000895182,0.000895182
44,437.461,0.64683,0.73055,0.99835,1.26095,0.000890325,0.000890325,0.000890325
45,447.19,0.6499,0.72743,0.99766,1.04675,0.000885371,0.000885371,0.000885371
46,456.713,0.6405,0.74129,0.99879,1.25904,0.000880323,0.000880323,0.000880323
47,466.152,0.65379,0.73315,0.99818,1.19794,0.00087518,0.00087518,0.00087518
48,475.628,0.64486,0.72734,0.99818,1.37126,0.000869946,0.000869946,0.000869946
49,485.338,0.64014,0.73098,0.9935,1.24355,0.00086462,0.00086462,0.00086462
50,494.946,0.63147,0.72994,0.99887,1.50841,0.000859204,0.000859204,0.000859204
51,504.745,0.62743,0.72041,0.99818,1.38502,0.0008537,0.0008537,0.0008537
52,514.205,0.62841,0.72769,0.99723,1.32575,0.000848108,0.000848108,0.000848108
53,523.715,0.62507,0.7497,0.99627,1.08188,0.000842431,0.000842431,0.000842431
54,533.204,0.60456,0.74363,0.99913,1.23739,0.00083667,0.00083667,0.00083667
55,542.685,0.61215,0.72206,0.99974,1.25297,0.000830825,0.000830825,0.000830825
56,552.209,0.60866,0.73358,0.99931,1.29989,0.000824899,0.000824899,0.000824899
57,561.731,0.61458,0.72206,0.99957,1.39865,0.000818893,0.000818893,0.000818893
58,571.324,0.60822,0.71877,0.99861,1.18962,0.000812809,0.000812809,0.000812809
59,580.753,0.60631,0.74164,0.99939,1.38617,0.000806647,0.000806647,0.000806647
60,590.243,0.60298,0.74866,0.99939,1.35931,0.00080041,0.00080041,0.00080041
61,599.768,0.59338,0.75186,0.99922,1.26686,0.000794099,0.000794099,0.000794099
62,609.275,0.58741,0.75126,0.99913,1.37058,0.000787715,0.000787715,0.000787715
63,618.79,0.59588,0.73653,0.99939,1.25616,0.000781261,0.000781261,0.000781261
64,628.388,0.58001,0.74008,0.99905,1.48713,0.000774737,0.000774737,0.000774737
65,637.915,0.59099,0.72466,0.99792,1.54615,0.000768145,0.000768145,0.000768145
66,647.439,0.57814,0.74389,0.99879,1.2255,0.000761488,0.000761488,0.000761488
67,656.952,0.58514,0.75619,0.99905,1.18623,0.000754766,0.000754766,0.000754766
